resource_id,concept_id,concept_name,resource_name,resource_type,difficulty,duration,duration_minutes,rating,view_count,url,subject,
RES5001,C1000,Linear Algebra,Hands-on Linear Algebra,Practice,Intermediate,2790,46.5,3.8,120,https://learning-platform.com/practice/linear-algebra/res5001,Both,
RES5004,C1001,Probability,Comprehensive Guide to Probability - Beyond Basics,Article,Intermediate,654,10.9,3.6,7689,https://learning-platform.com/articles/probability/res5004,Both,
RES5005,C1001,Probability,Introduction to Probability - Advanced Techniques,Video,Advanced,1999,33.3,4.5,90295,https://learning-platform.com/videos/probability/res5005,Both,
RES5002,C1001,Probability,Understanding Probability - for Beginners,Video,Beginner,470,7.8,4.6,1852,https://learning-platform.com/videos/probability/res5002,Both,
RES5003,C1001,Probability,Understanding Probability - Intermediate Level,Video,Intermediate,744,12.4,3.3,6474,https://learning-platform.com/videos/probability/res5003,Both,
RES5000,C1002,Calculus,Complete Guide to Calculus - Advanced Techniques,Video,Advanced,1315,21.9,3.7,16672,https://learning-platform.com/videos/calculus/res5000,Both,
RES5007,C1003,Statistics,Tutorial on Statistics - Getting Started,Video,Beginner,885,14.8,3.9,645,https://learning-platform.com/videos/statistics/res5007,Both,
RES5006,C1004,Python Programming,Simulation: Python Programming,Interactive,Beginner,1202,20,4.1,632,https://learning-platform.com/interactive/python-programming/res5006,Both,
RES5009,C1005,Distance Metrics,Coding Challenge: Distance Metrics,Practice,Intermediate,2516,41.9,4,1537,https://learning-platform.com/practice/distance-metrics/res5009,Both,
RES5008,C1005,Distance Metrics,Introduction to Distance Metrics - for Beginners,Video,Beginner,836,13.9,4.7,1597,https://learning-platform.com/videos/distance-metrics/res5008,Both,
RES5031,C1006,Attention Mechanism,Playground: Attention Mechanism,Interactive,Beginner,2407,40.1,4.4,507,https://learning-platform.com/interactive/attention-mechanism/res5031,DL,
RES5030,C1006,Attention Mechanism,Hands-on Attention Mechanism,Practice,Intermediate,2942,49,4.2,3920,https://learning-platform.com/practice/attention-mechanism/res5030,DL,
RES5032,C1006,Attention Mechanism,Tutorial on Attention Mechanism - for Beginners,Video,Beginner,754,12.6,4.4,5636,https://learning-platform.com/videos/attention-mechanism/res5032,DL,
RES5102,C1007,Linear Regression,Practical Linear Regression,Practice,Beginner,1422,23.7,4.3,683,https://learning-platform.com/practice/linear-regression/res5102,ML,
RES5103,C1007,Linear Regression,Mastering Linear Regression - Intermediate Level,Video,Intermediate,1454,24.2,4.2,918,https://learning-platform.com/videos/linear-regression/res5103,ML,
RES5106,C1008,Logistic Regression,Analysis of Logistic Regression - Fundamentals,Article,Beginner,358,6,3.6,7377,https://learning-platform.com/articles/logistic-regression/res5106,ML,
RES5105,C1008,Logistic Regression,Exercise on Logistic Regression,Practice,Intermediate,2204,36.7,3.7,39330,https://learning-platform.com/practice/logistic-regression/res5105,ML,
